mode,horizon,windows,normalized_mse,raw_mse,token_cosine
conditioned_correct,1,4136,0.10267098851788364,0.1758692171719606,0.9728697652800632
conditioned_correct,5,4136,0.21561136400971986,0.3817602939493017,0.9400407490059302
conditioned_correct,10,4136,0.3204467645783258,0.5828920672584607,0.9079163810904759
conditioned_correct,25,4136,0.4937927408478938,0.9197940436593569,0.8541376993665382
conditioned_zero,1,4136,0.1047039148840212,0.17946215032134205,0.9723139679351213
conditioned_zero,5,4136,0.2367190846333882,0.4212234606371915,0.9339184349896368
conditioned_zero,10,4136,0.3696531693215123,0.6757418079233262,0.8939403335724163
conditioned_zero,25,4136,0.5695344815769267,1.0633375310344437,0.8335838013218727
conditioned_shuffled,1,4136,0.10624566453808966,0.1821588515216211,0.9718944737885861
conditioned_shuffled,5,4136,0.24044268279619213,0.4279788217689244,0.9327272655049652
conditioned_shuffled,10,4136,0.3699908942034616,0.6764953175930728,0.8933728295927813
conditioned_shuffled,25,4136,0.558155655259234,1.042189941646052,0.8354753335105612
no_action,1,4136,0.10321953056048695,0.17687827423917457,0.9727286988980997
no_action,5,4136,0.2221654677417713,0.39411436120044563,0.9381419678778897
no_action,10,4136,0.33538686637577514,0.6108872005409729,0.9035086074494532
no_action,25,4136,0.5241540309142617,0.9769703638622793,0.8450571197865088
persistence,1,4136,0.13307287099401802,0.22661490602909887,0.9657032865043765
persistence,5,4136,0.33403494870164063,0.5892828648524427,0.9110512312508875
persistence,10,4136,0.5285101117011397,0.9557985676528176,0.8568801263084264
persistence,25,4136,0.8155998682866245,1.498744408825207,0.7761731746262461
conditioned_teacher_forced,1,4136,0.10267098851788364,0.1758692171719606,0.9728697652800632
conditioned_teacher_forced,5,4136,0.10333047080059973,0.17697691913141114,0.9727506067611033
conditioned_teacher_forced,10,4136,0.10313961817004774,0.17661863652227278,0.972905170136425
conditioned_teacher_forced,25,4136,0.10150348650344704,0.173698486283789,0.9736075460968442
