rollout_id,pair_id,condition,benchmark_task_id,init_state_index,period,start_index,target_index,commanded_h10_raw_mse,executed_h10_raw_mse,no_action_h10_raw_mse,persistence_h10_raw_mse
task04-init07-nominal,task04-init07,nominal,4,7,pre,10,20,0.8788227438926697,0.8788227438926697,0.8797546625137329,1.467050552368164
task04-init07-nominal,task04-init07,nominal,4,7,pre,11,21,0.864841878414154,0.864841878414154,0.8463115096092224,1.4645957946777344
task04-init07-nominal,task04-init07,nominal,4,7,pre,12,22,0.7702193260192871,0.7702193260192871,0.7433762550354004,1.3448150157928467
task04-init07-nominal,task04-init07,nominal,4,7,pre,13,23,0.7775367498397827,0.7775367498397827,0.785348117351532,1.3161966800689697
task04-init07-nominal,task04-init07,nominal,4,7,pre,14,24,0.8939568400382996,0.8939568400382996,0.870529055595398,1.3496809005737305
task04-init07-nominal,task04-init07,nominal,4,7,pre,15,25,0.8446337580680847,0.8446337580680847,0.8564049005508423,1.3779305219650269
task04-init07-nominal,task04-init07,nominal,4,7,pre,16,26,0.8097314834594727,0.8097314834594727,0.8129396438598633,1.3602250814437866
task04-init07-nominal,task04-init07,nominal,4,7,pre,17,27,0.8451875448226929,0.8451875448226929,0.834563136100769,1.4365686178207397
task04-init07-nominal,task04-init07,nominal,4,7,pre,18,28,0.8418099284172058,0.8418099284172058,0.8558590412139893,1.441319227218628
task04-init07-nominal,task04-init07,nominal,4,7,pre,19,29,0.8641995191574097,0.8641995191574097,0.8836302757263184,1.4843790531158447
task04-init07-nominal,task04-init07,nominal,4,7,pre,20,30,0.882468581199646,0.882468581199646,0.899817168712616,1.3890571594238281
task04-init07-nominal,task04-init07,nominal,4,7,pre,21,31,0.9486075639724731,0.9486075639724731,0.9939786791801453,1.462754249572754
task04-init07-nominal,task04-init07,nominal,4,7,pre,22,32,0.9073283076286316,0.9073283076286316,0.9863373637199402,1.4442094564437866
task04-init07-nominal,task04-init07,nominal,4,7,pre,23,33,0.9292165637016296,0.9292165637016296,1.0636581182479858,1.5571599006652832
task04-init07-nominal,task04-init07,nominal,4,7,pre,24,34,0.9440557360649109,0.9440557360649109,1.0638481378555298,1.4748401641845703
