episode_id,source,policy,task_id,task_name,init_state_index,environment_seed,policy_rng_seed,policy_rng_batch_size,action_horizon,maximum_control_steps,success,control_steps,censored,logical_vlm_forward_count,actual_vlm_forward_count,inference_latency_mean_seconds,inference_latency_p50_seconds,inference_latency_p95_seconds,episode_wall_seconds,peak_inference_gpu_memory_bytes,initial_observation_sha256,action_sha256,video,video_sha256,trajectory,trajectory_sha256,protocol_sha256
formal-expert_only-h10-task05-init00-legacy-batch3,legacy_reused,expert_only,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,1000,1005,3,10,280,False,280,True,28,,,,,,,,223227e10614c8138df5dba93e08c06327d379cd97927987e33ae9a4fed06dcb,external_asset_root/stage9_task5_finetune_eval/videos/task_05/episode_00.mp4,436f3ba7c62504cb69eca6b0129fb7fb57986dc792b7cb71d639ef61c59ef733,external_asset_root/stage9_task5_finetune_eval/trajectories/task_05.npz,3b1fc5d18e7c509f13b29b76cb27cae07477b862cb9fe7707b608d864014f45f,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task05-init01-legacy-batch3,legacy_reused,expert_only,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,1,1001,1005,3,10,280,False,280,True,28,,,,,,,,8bc07ef448d1112e2c38560630f1fd6899a23a4075493ed82abfb4f183f2024f,external_asset_root/stage9_task5_finetune_eval/videos/task_05/episode_01.mp4,4c2ff3dcd59a1e39fbdda2c3a6850c3c62417f41ecbada95024e6a2887385e36,external_asset_root/stage9_task5_finetune_eval/trajectories/task_05.npz,3b1fc5d18e7c509f13b29b76cb27cae07477b862cb9fe7707b608d864014f45f,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task05-init02-legacy-batch3,legacy_reused,expert_only,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,2,1002,1005,3,10,280,False,280,True,28,,,,,,,,9e561b91565404bde4acf8b3d35b4663aff8011fd6f80ea033e86f1fc8ac5238,external_asset_root/stage9_task5_finetune_eval/videos/task_05/episode_02.mp4,688992fca85ca397eaed71a896c2140c8e92c67517ac61b6ea79ff54118687b7,external_asset_root/stage9_task5_finetune_eval/trajectories/task_05.npz,3b1fc5d18e7c509f13b29b76cb27cae07477b862cb9fe7707b608d864014f45f,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task05-init03-env1003-policy1003,new_formal,expert_only,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,3,1003,1003,1,10,280,False,280,True,28,28,0.3462582204643435,0.32933301949969973,0.5090973567998844,58.50881339500029,972986368,051c2a47d181305a6cf1b2f17c5d8d8238e5247924d17431284ad5f2012178e1,dd56aa3ef170a3fa862c53eb7d69c3bf86ab05091de616bab79cf36d14c23dd3,outputs/statistical_evaluation_v1/videos/formal/expert_only-h10/formal-expert_only-h10-task05-init03-env1003-policy1003.mp4,cfdf818e24e953ad696e7a2bbfc168f8c396926eed3ac4fd8d9e643184076bf7,outputs/statistical_evaluation_v1/trajectories/formal/expert_only-h10/formal-expert_only-h10-task05-init03-env1003-policy1003.npz,172e2daabf4b67a75d857f3a368f7c58d5a9ae61d0aba894d3ab87298192d725,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task05-init04-env1004-policy1004,new_formal,expert_only,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,4,1004,1004,1,10,280,False,280,True,28,28,0.33665621796418627,0.33955096799991225,0.4639933049000318,56.79441146799945,972986368,8b159efeb1e499e58fa3dd05bb38d365d4318185c692086d7ce3c90298afd3d2,cbeace46178f71fea723d6ac18c704a7c464f6f7780ba3d706cd150131175772,outputs/statistical_evaluation_v1/videos/formal/expert_only-h10/formal-expert_only-h10-task05-init04-env1004-policy1004.mp4,a44259f2b63c99b0c94d214afea5a2789288f3febae03c97553dd09b6d431adb,outputs/statistical_evaluation_v1/trajectories/formal/expert_only-h10/formal-expert_only-h10-task05-init04-env1004-policy1004.npz,6c88a9f8b4b9d73812a3b327ef20ddd6b80f68a9f0d9e1bd9ac604cf55428dfc,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task05-init05-env1005-policy1005,new_formal,expert_only,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,5,1005,1005,1,10,280,False,280,True,28,28,0.31770085382153673,0.29587043150013415,0.4264700086000629,56.63750524700026,972986368,280a7afbf97be90efc31fbb8ed667c1901a1c5a77e9946171fe39db47cfe40f6,a457c2482b9b2881f4e129606c4d4d7a686f8a7656d56a5707cd16004769e658,outputs/statistical_evaluation_v1/videos/formal/expert_only-h10/formal-expert_only-h10-task05-init05-env1005-policy1005.mp4,738ab127614a96055449bb2cf0959cf78f2594b1a091224978f2fcfa96f53d94,outputs/statistical_evaluation_v1/trajectories/formal/expert_only-h10/formal-expert_only-h10-task05-init05-env1005-policy1005.npz,61d22b9288be414b40f010cee01a5e77c493abe2ea0bec30d55c1f5320c28e48,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task05-init06-env1006-policy1006,new_formal,expert_only,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,6,1006,1006,1,10,280,False,280,True,28,28,0.31225715074992877,0.28500355400001354,0.38387528885009486,55.77896311800032,972986368,267dcfdef98f4bf4bc1633d20151817acf3291cbae699e0a5b4d2b068b10c3b1,ffd808c2937a448396e71673659d7d1f8f26b3b531edf7c3c9da003e2411f50e,outputs/statistical_evaluation_v1/videos/formal/expert_only-h10/formal-expert_only-h10-task05-init06-env1006-policy1006.mp4,30417029790f11f2df37115376b4691717ff78bd776c99db722530e0dbfbb077,outputs/statistical_evaluation_v1/trajectories/formal/expert_only-h10/formal-expert_only-h10-task05-init06-env1006-policy1006.npz,a9e55cc7ca1044e9958ff633cc06bf3e5ea8a2c14466e323070cc5e0ae6f500e,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task05-init07-env1007-policy1007,new_formal,expert_only,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,7,1007,1007,1,10,280,False,280,True,28,28,0.31949180403577365,0.28363580299992464,0.433173217499916,55.65822341300009,972986368,658e8ea484625445a5ae34c685c573e7508b8a0a27a1d00ca50f6c3e315ca75b,0e98a02d8287a0819ff37a1b9a240946a62c700d3f97043c4f4accceebdae375,outputs/statistical_evaluation_v1/videos/formal/expert_only-h10/formal-expert_only-h10-task05-init07-env1007-policy1007.mp4,339d047429d5bd08a2f282f3f2d855967a98b2a8a3e34caf56f58ce8539d6109,outputs/statistical_evaluation_v1/trajectories/formal/expert_only-h10/formal-expert_only-h10-task05-init07-env1007-policy1007.npz,d59a34dcc4c64eae5546b733ce260d66212d39369c07fb48939fe9755993c95a,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task05-init08-env1008-policy1008,new_formal,expert_only,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,8,1008,1008,1,10,280,False,280,True,28,28,0.3358938146427915,0.345284357500077,0.4576308427503136,58.082192171000315,972986368,21cbd65c6619e3324cfabd85a521bf6f92e3aab3753ff4d0ff9867919d8d9ca4,f35e0556403d693fb761c4ccbf8c0b688166cfb7fb189035a0463a3885af99a6,outputs/statistical_evaluation_v1/videos/formal/expert_only-h10/formal-expert_only-h10-task05-init08-env1008-policy1008.mp4,b834f29da0891bb26113ae52719950c6bbfb3d3777b65bb06d7ce93d168f0aa4,outputs/statistical_evaluation_v1/trajectories/formal/expert_only-h10/formal-expert_only-h10-task05-init08-env1008-policy1008.npz,8a82dbfb5dba63c355aea733c63cfeef570776e6fb319a96f47376f26ffc70cd,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
formal-expert_only-h10-task05-init09-env1009-policy1009,new_formal,expert_only,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,9,1009,1009,1,10,280,False,280,True,28,28,0.31960469457141827,0.2934840494999662,0.39671508060018823,56.9569189369995,972986368,44cd6967a7ba9420c33b56a86368ec7fc3953bfdc78f07724607facd40def4b9,91a3a074758cf546491539f41a603cf64fb4372611487e677d2183979eccfed2,outputs/statistical_evaluation_v1/videos/formal/expert_only-h10/formal-expert_only-h10-task05-init09-env1009-policy1009.mp4,b2bbd7e8dc048475892200862780bbd7757959efb5fd176938e14ba285b8bf2f,outputs/statistical_evaluation_v1/trajectories/formal/expert_only-h10/formal-expert_only-h10-task05-init09-env1009-policy1009.npz,5208df77131d1158b7f2197c5293416994ee73b8001d69505330933b6c113bcd,5d35f52af86f240c665ffef15a2bff0622474375ba01dec0f60351c3936838b5
