variant,step,train_normalized_mse,gradient_norm,validation_normalized_mse,validation_raw_mse,validation_token_cosine,is_best
action_conditioned,1,0.125160813331604,0.019445758312940598,0.1287297722109823,0.2194539053890358,0.966934137669141,True
action_conditioned,250,0.10810336470603943,0.02941936068236828,0.10978081911587001,0.1878774415843873,0.9712146221668727,True
action_conditioned,500,0.11065874993801117,0.02846400998532772,0.10654022228607084,0.18235914982755363,0.9720506579514259,True
action_conditioned,750,0.10153132677078247,0.027096809819340706,0.10499965209586948,0.17974151337232874,0.9724632542199764,True
action_conditioned,1000,0.1047104224562645,0.027936702594161034,0.10374981306408704,0.17758301807753935,0.9727732965451645,True
action_conditioned,1250,0.10307621955871582,0.02630379982292652,0.10268840565893057,0.17580010512049846,0.973061721760422,True
action_conditioned,1500,0.10180368274450302,0.02335572987794876,0.10203550259272258,0.17469985652388187,0.9732270860819625,True
action_conditioned,1750,0.09922163188457489,0.024274533614516258,0.10162857762308189,0.17400055084189148,0.9733399075251246,True
action_conditioned,2000,0.10353654623031616,0.025080818682909012,0.10155462745050405,0.17383909889788082,0.9733701977567407,True
action_conditioned,2250,0.10266777127981186,0.02124951407313347,0.10107780068774465,0.17305437551563368,0.9734888785394722,True
action_conditioned,2500,0.09547790139913559,0.02196822501718998,0.10103296692280331,0.17300355286790123,0.9735147753736183,True
action_conditioned,2750,0.09796028584241867,0.02092210203409195,0.10072870846257244,0.17239192248128885,0.9735918414112953,True
action_conditioned,3000,0.09760871529579163,0.022927405312657356,0.10098251924918286,0.1728783838520109,0.9735262866359746,False
action_conditioned,3250,0.09996356815099716,0.02289918065071106,0.10047645490112934,0.1720057904289726,0.9736633669850258,True
action_conditioned,3500,0.09571802616119385,0.022460751235485077,0.10084414826581106,0.17265652478417867,0.9735797455436305,False
action_conditioned,3750,0.09560082852840424,0.023311002179980278,0.10042366843720585,0.17193942542415655,0.9736910013960611,True
action_conditioned,4000,0.09693138301372528,0.02067449875175953,0.10106683066508841,0.17301385395298063,0.9735224091969776,False
action_conditioned,4250,0.0935310572385788,0.02119879238307476,0.10050319524249302,0.17206441593367003,0.9736588495803691,False
action_conditioned,4500,0.09227000176906586,0.020388364791870117,0.10014907002326012,0.17145680372436964,0.973746332221725,True
action_conditioned,4750,0.09404753148555756,0.022193467244505882,0.10044774680683856,0.17195783827696054,0.9736762607798857,False
action_conditioned,5000,0.09769593924283981,0.023968247696757317,0.10040740621102237,0.1718973940001922,0.9736838709828285,False
no_action,1,0.125160813331604,0.019526025280356407,0.12870144468835018,0.2194186113198106,0.9669384255128748,True
no_action,250,0.10808640718460083,0.029009496793150902,0.10988151362805913,0.1880569772946699,0.9711855291951182,True
no_action,500,0.11104612052440643,0.028439246118068695,0.10685173553578994,0.18294296200676477,0.971960700333303,True
no_action,750,0.10194666683673859,0.026735316962003708,0.10511680819301783,0.17997034476883517,0.9724215125151832,True
no_action,1000,0.10508512705564499,0.027588989585638046,0.10412522058614883,0.17827266829916813,0.9726664628775865,True
no_action,1250,0.1035141795873642,0.025798145681619644,0.10299407291707609,0.17636668153099477,0.9729754887867269,True
no_action,1500,0.10230064392089844,0.023715808987617493,0.10239960294758942,0.1753594027707205,0.9731287114760455,True
no_action,1750,0.09954975545406342,0.022785643115639687,0.10199457591532185,0.17467001938598445,0.9732322929075259,True
no_action,2000,0.10367119312286377,0.024303724989295006,0.1018438735982582,0.1743961121152675,0.9732865593381711,True
no_action,2250,0.10299663245677948,0.02274075336754322,0.10145313980901696,0.1737564896897512,0.973381145819791,True
no_action,2500,0.09541517496109009,0.02223065309226513,0.10149273586962122,0.17386086597285158,0.9733885094846365,False
no_action,2750,0.09823714941740036,0.02188728004693985,0.10109829791928224,0.17309762191477207,0.9734887958680144,True
no_action,3000,0.09810924530029297,0.02387862093746662,0.10138131922612618,0.17360070738383984,0.973406105218657,False
no_action,3250,0.10022343695163727,0.022229952737689018,0.10081409805207307,0.17265244460327336,0.9735571282566885,True
no_action,3500,0.09565635770559311,0.022127844393253326,0.10116449807327475,0.17327089280166863,0.9734819562811601,False
no_action,3750,0.0958065316081047,0.022676952183246613,0.10089914619122989,0.17280626469229274,0.973557664144888,False
no_action,4000,0.09707210958003998,0.02032456174492836,0.10134705547454803,0.1735650932087618,0.9734327534773032,False
no_action,4250,0.0943089947104454,0.023121707141399384,0.1010363963120247,0.1730168949585827,0.9735207306711298,False
no_action,4500,0.09257172048091888,0.019900022074580193,0.10081282550213384,0.17265982081646522,0.9735764918312568,True
no_action,4750,0.09431415796279907,0.0192165058106184,0.10083966020214054,0.17270803353119685,0.9735579224931935,False
no_action,5000,0.09821635484695435,0.023378681391477585,0.10098902612032659,0.17296347603340267,0.9735222113759894,False
