pair_id,split,condition,benchmark_task_id,init_state_index,available_after_step,commanded_h10_raw_mse,commanded_minus_executed,executed_h10_raw_mse,horizon,intervention_active_at_available_step,intervention_start,no_action_h10_raw_mse,persistence_h10_raw_mse,scoring_seconds,start_index,target_index
calibration-task04-init03,calibration,nominal,4,3,9,0.5736910700798035,0.0,0.5736910700798035,10,False,,0.5569175481796265,0.5691460967063904,0.01865828900008637,0,10
calibration-task04-init03,calibration,nominal,4,3,10,0.5756955146789551,0.0,0.5756955146789551,10,False,,0.5986374616622925,0.5706316828727722,0.01320879700142541,1,11
calibration-task04-init03,calibration,nominal,4,3,11,0.6076233386993408,0.0,0.6076233386993408,10,False,,0.6129211187362671,0.6812223196029663,0.014206169000317459,2,12
calibration-task04-init03,calibration,nominal,4,3,12,0.6378273963928223,0.0,0.6378273963928223,10,False,,0.6555477380752563,0.7413319945335388,0.01316916599898832,3,13
calibration-task04-init03,calibration,nominal,4,3,13,0.7404417991638184,0.0,0.7404417991638184,10,False,,0.8156337141990662,0.9731923937797546,0.016467796000142698,4,14
calibration-task04-init03,calibration,nominal,4,3,14,0.6867626905441284,0.0,0.6867626905441284,10,False,,0.7861983180046082,1.0276663303375244,0.01978060699912021,5,15
calibration-task04-init03,calibration,nominal,4,3,15,0.68803870677948,0.0,0.68803870677948,10,False,,0.8617894053459167,1.20014226436615,0.019696497000040836,6,16
calibration-task04-init03,calibration,nominal,4,3,16,0.7999310493469238,0.0,0.7999310493469238,10,False,,0.8502151370048523,1.3037760257720947,0.014175758000419592,7,17
calibration-task04-init03,calibration,nominal,4,3,17,0.8018142580986023,0.0,0.8018142580986023,10,False,,0.8663153648376465,1.3994420766830444,0.013624733999677119,8,18
calibration-task04-init03,calibration,nominal,4,3,18,0.7800869345664978,0.0,0.7800869345664978,10,False,,0.78477942943573,1.2910737991333008,0.01449709000007715,9,19
calibration-task04-init03,calibration,nominal,4,3,19,0.6441888213157654,0.0,0.6441888213157654,10,False,,0.6585915088653564,1.2416051626205444,0.013439813999866601,10,20
calibration-task04-init03,calibration,nominal,4,3,20,0.7466367483139038,0.0,0.7466367483139038,10,False,,0.7295855283737183,1.202606201171875,0.014009536000230582,11,21
calibration-task04-init03,calibration,nominal,4,3,21,0.6460618376731873,0.0,0.6460618376731873,10,False,,0.6396018266677856,1.1058319807052612,0.014761029999135644,12,22
calibration-task04-init03,calibration,nominal,4,3,22,0.7663511037826538,0.0,0.7663511037826538,10,False,,0.7524322271347046,1.0773236751556396,0.014183128001604928,13,23
calibration-task04-init03,calibration,nominal,4,3,23,0.7881336212158203,0.0,0.7881336212158203,10,False,,0.7885259389877319,1.108957290649414,0.014383020999957807,14,24
calibration-task04-init03,calibration,nominal,4,3,24,0.8141984343528748,0.0,0.8141984343528748,10,False,,0.8168133497238159,1.146100401878357,0.01376782599982107,15,25
calibration-task04-init03,calibration,nominal,4,3,25,0.7581238746643066,0.0,0.7581238746643066,10,False,,0.7429603338241577,1.0495691299438477,0.014008828000442008,16,26
calibration-task04-init03,calibration,nominal,4,3,26,0.7266871333122253,0.0,0.7266871333122253,10,False,,0.7419840097427368,1.1243035793304443,0.016937761998633505,17,27
calibration-task04-init03,calibration,nominal,4,3,27,0.7261499166488647,0.0,0.7261499166488647,10,False,,0.7704367637634277,1.1723073720932007,0.01399083599972073,18,28
calibration-task04-init03,calibration,nominal,4,3,28,0.7618019580841064,0.0,0.7618019580841064,10,False,,0.8479213714599609,1.216289758682251,0.014393274999747518,19,29
calibration-task04-init03,calibration,nominal,4,3,29,0.8365368843078613,0.0,0.8365368843078613,10,False,,0.8322807550430298,1.2647572755813599,0.013230923001174233,20,30
calibration-task04-init03,calibration,nominal,4,3,30,0.7797054648399353,0.0,0.7797054648399353,10,False,,0.8038442134857178,1.3349924087524414,0.013563275000706199,21,31
calibration-task04-init03,calibration,nominal,4,3,31,0.8937348127365112,0.0,0.8937348127365112,10,False,,0.9018545150756836,1.3875707387924194,0.01305680699988443,22,32
calibration-task04-init03,calibration,nominal,4,3,32,0.8021833300590515,0.0,0.8021833300590515,10,False,,0.7791008353233337,1.3580502271652222,0.013349996001124964,23,33
calibration-task04-init03,calibration,nominal,4,3,33,0.927446722984314,0.0,0.927446722984314,10,False,,0.8823778033256531,1.315298318862915,0.016237297000770923,24,34
calibration-task04-init03,calibration,nominal,4,3,34,0.95744389295578,0.0,0.95744389295578,10,False,,0.923968493938446,1.360715627670288,0.013322147000508267,25,35
calibration-task04-init03,calibration,nominal,4,3,35,0.8206506967544556,0.0,0.8206506967544556,10,False,,0.818809986114502,1.1397533416748047,0.01379368600100861,26,36
calibration-task04-init03,calibration,nominal,4,3,36,0.8167291879653931,0.0,0.8167291879653931,10,False,,0.7823315858840942,1.0506218671798706,0.012659539001106168,27,37
calibration-task04-init03,calibration,nominal,4,3,37,0.7673214673995972,0.0,0.7673214673995972,10,False,,0.7546023726463318,0.9135618209838867,0.012686371001109364,28,38
