pair_id,condition,benchmark_task_id,init_state_index,metric,pre_mean,pre_sample_std,scale_floor,denominator
task04-init03,nominal,4,3,wm_relative_residual,-0.003727595652303388,0.03603878283402364,1e-08,0.03603878283402364
task04-init03,nominal,4,3,wm_action_residual,0.7955892835893938,0.06692281662329615,7.955892835893938e-07,0.06692281662329615
task04-init03,nominal,4,3,no_action_residual,0.7993168792416973,0.06677564026675883,7.993168792416972e-07,0.06677564026675883
task04-init03,nominal,4,3,latent_persistence_motion,0.9801771188935926,0.2945336500922808,9.801771188935926e-07,0.2945336500922808
task04-init03,nominal,4,3,eef_path_length,0.08669503489809652,0.025281769158983017,8.669503489809651e-08,0.025281769158983017
task04-init03,nominal,4,3,pixel_endpoint_mae,21.0339231183452,3.74769778333617,2.10339231183452e-05,3.74769778333617
task04-init03,arm_actuator_gain_0p5,4,3,wm_relative_residual,-0.003727595652303388,0.03603878283402364,1e-08,0.03603878283402364
task04-init03,arm_actuator_gain_0p5,4,3,wm_action_residual,0.7955892835893938,0.06692281662329615,7.955892835893938e-07,0.06692281662329615
task04-init03,arm_actuator_gain_0p5,4,3,no_action_residual,0.7993168792416973,0.06677564026675883,7.993168792416972e-07,0.06677564026675883
task04-init03,arm_actuator_gain_0p5,4,3,latent_persistence_motion,0.9801771188935926,0.2945336500922808,9.801771188935926e-07,0.2945336500922808
task04-init03,arm_actuator_gain_0p5,4,3,eef_path_length,0.08669503489809652,0.025281769158983017,8.669503489809651e-08,0.025281769158983017
task04-init03,arm_actuator_gain_0p5,4,3,pixel_endpoint_mae,21.0339231183452,3.74769778333617,2.10339231183452e-05,3.74769778333617
task04-init13,nominal,4,13,wm_relative_residual,0.005249646402174427,0.03330341448306332,1e-08,0.03330341448306332
task04-init13,nominal,4,13,wm_action_residual,0.776000234388536,0.09345519814310824,7.76000234388536e-07,0.09345519814310824
task04-init13,nominal,4,13,no_action_residual,0.7707505879863616,0.07820778030760155,7.707505879863616e-07,0.07820778030760155
task04-init13,nominal,4,13,latent_persistence_motion,1.159722883855143,0.19148330623856671,1.1597228838551429e-06,0.19148330623856671
