pair_id,condition,benchmark_task_id,init_state_index,period,start_index,target_index,wm_relative_residual_raw,wm_action_residual_raw,no_action_residual_raw,latent_persistence_motion_raw,eef_path_length_raw,pixel_endpoint_mae_raw,wm_relative_residual_anomaly,wm_action_residual_anomaly,no_action_residual_anomaly,latent_persistence_motion_anomaly,eef_path_length_anomaly,pixel_endpoint_mae_anomaly
task04-init03,nominal,4,3,pre,10,20,-0.014399528503417969,0.644192636013031,0.658592164516449,1.2416081428527832,0.11744198948144913,21.622495651245117,0.29612356500118475,2.2622575560225444,2.1074259140470057,0.8876100366707887,1.2161710040939806,0.1570490917162415
task04-init03,nominal,4,3,pre,11,21,0.01705068349838257,0.7466326951980591,0.7295820116996765,1.2026079893112183,0.11763353645801544,22.376955032348633,0.5765532994380019,0.7315380741804096,1.044315970066932,0.755196801275289,1.2237474903502146,0.3583618508341611
task04-init03,nominal,4,3,pre,12,22,0.006458699703216553,0.6460608243942261,0.6396021246910095,1.1058311462402344,0.1177268847823143,22.741716384887695,0.2826481516435461,2.2343419888743328,2.3918116533611786,0.4266202768589359,1.2274398080718045,0.455691297771143
task04-init03,nominal,4,3,pre,13,23,0.013918697834014893,0.766347348690033,0.7524286508560181,1.0773227214813232,0.11749592423439026,23.06329345703125,0.48964732154213314,0.43695015205294924,0.7021756466634783,0.32982853591531497,1.2183043497709374,0.5414978624235599
task04-init03,nominal,4,3,pre,14,24,-0.0003952980041503906,0.7881354093551636,0.788530707359314,1.1089571714401245,0.11673363298177719,23.263538360595703,0.09246421177707002,0.11138016315403475,0.16152854303297015,0.437233750731652,1.1881525337402061,0.5949293062435034
task04-init03,nominal,4,3,pre,15,25,-0.002612590789794922,0.8141991496086121,0.816811740398407,1.1461032629013062,0.11553744971752167,23.478675842285156,0.030939026649252094,0.2780795393590776,0.2619946598313448,0.5633520786359283,1.1408384689398596,0.6523345438392466
task04-init03,nominal,4,3,pre,16,26,0.015162110328674316,0.7581219673156738,0.7429598569869995,1.0495706796646118,0.11400765180587769,23.65406608581543,0.5241493883956656,0.5598586276579021,0.8439757676535897,0.23560486467090402,1.080328545681565,0.6991340067815712
task04-init03,nominal,4,3,pre,17,27,-0.015295207500457764,0.7266926765441895,0.7419878840446472,1.1243023872375488,0.1122392788529396,24.118005752563477,0.32097676276773635,1.0294935348136731,0.8585315688180474,0.4893337936049077,1.010381978975028,0.8229272509462733
task04-init03,nominal,4,3,pre,18,28,-0.044285714626312256,0.7261514663696289,0.7704371809959412,1.1723078489303589,0.11000438034534454,24.724660873413086,1.1254020192856957,1.0375806148540572,0.4324885262108451,0.6523218313987876,0.9219823700101242,0.9848013282923846
task04-init03,nominal,4,3,pre,19,29,-0.08612263202667236,0.7618017196655273,0.8479243516921997,1.21628737449646,0.10747077316045761,25.20069694519043,2.286287990186537,0.5048736085639423,0.7279222221804653,0.8016410197235233,0.8217675800975005,1.1118222620224198
task04-init03,nominal,4,3,pre,20,30,0.00426250696182251,0.8365392088890076,0.8322767019271851,1.2647582292556763,0.10476687550544739,25.413471221923828,0.2217084481161381,0.6118978155106349,0.49359051525104325,0.9662091590313064,0.7148170879065896,1.1685969245044059
task04-init03,nominal,4,3,pre,21,31,-0.024140000343322754,0.7797037363052368,0.8038437366485596,1.3349932432174683,0.10164815187454224,25.495088577270508,0.5664010570231672,0.23737117003869795,0.06779204795009361,1.2046709237219846,0.5914584886213407,1.1903749226422453
task04-init03,nominal,4,3,pre,22,32,-0.008119463920593262,0.8937348127365112,0.9018542766571045,1.3875716924667358,0.0981845036149025,25.556360244750977,0.12186505544642258,1.4665480937476332,1.5355509435145132,1.383185158794256,0.4544566736827271,1.2067240711122496
task04-init03,nominal,4,3,pre,23,33,0.023077726364135742,0.8021805286407471,0.7791028022766113,1.35805082321167,0.0945780947804451,25.44557762145996,0.7437909914963237,0.09849025166491243,0.3027163331468432,1.2829559685274845,0.3118080792833916,1.1771638905172181
task04-init03,nominal,4,3,pre,24,34,0.045067012310028076,0.9274412989616394,0.8823742866516113,1.3152964115142822,0.09124340862035751,25.057842254638672,1.3539471681675457,1.9702101917561439,1.2438279450127618,1.1377962841111462,0.17990725623902334,1.0737042763121127
task04-init03,nominal,4,3,pre,25,35,0.033480703830718994,0.9574474692344666,0.9239667654037476,1.3607176542282104,0.0882451981306076,24.433778762817383,1.0324516134294808,2.4185799972550632,1.866696982074487,1.2920103873203965,0.06131545710915129,0.9071851149762825
task04-init03,nominal,4,3,pre,26,36,0.0018448829650878906,0.8206518888473511,0.8188070058822632,1.1397533416748047,0.08524329960346222,23.301258087158203,0.15462449559007835,0.3745001558890278,0.29187479989268167,0.5417928400752003,0.057422219367052246,0.6049940790035209
task04-init03,nominal,4,3,pre,27,37,0.03439664840698242,0.8167318105697632,0.7823351621627808,1.0506207942962646,0.08202192187309265,21.84864044189453,1.0578671381568778,0.3159240457462982,0.2543100599421741,0.23917021155511853,0.18484121880938206,0.2173914148499126
task04-init03,nominal,4,3,pre,28,38,0.012716472148895264,0.767318606376648,0.7546021342277527,0.9135637283325195,0.0788206234574318,20.121868133544922,0.4562881015413781,0.4224370497117532,0.6696266008879249,0.22616563689820274,0.31146599714390716,0.24336406976455133
task04-init03,nominal,4,3,pre,29,39,0.051986098289489746,0.8467806577682495,0.7947945594787598,0.913668155670166,0.07565826177597046,18.064579010009766,1.545937169920032,0.7649315549136003,0.0677240943684177,0.225811085431456,0.43655066434322365,0.7923115149621666
task04-init03,nominal,4,3,pre,30,40,0.03142935037612915,0.7681100368499756,0.7366806864738464,0.8064257502555847,0.07268332690000534,16.124675750732422,0.975530893769293,0.4106110311240637,0.9380096172440798,0.5899202640634427,0.5542218153318038,1.309936833605245
