rollout_id,condition,start_index,target_index,commanded_h10_raw_mse_abs_error,executed_h10_raw_mse_abs_error,no_action_h10_raw_mse_abs_error,persistence_h10_raw_mse_abs_error
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,10,20,0.0,0.0,2.384185791015625e-07,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,11,21,0.0,0.0,0.0,2.384185791015625e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,12,22,0.0,0.0,0.0,1.1920928955078125e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,13,23,5.960464477539063e-08,5.960464477539063e-08,0.0,1.1920928955078125e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,14,24,0.0,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,15,25,0.0,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,16,26,0.0,0.0,0.0,3.5762786865234375e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,17,27,0.0,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,18,28,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,19,29,0.0,0.0,0.0,2.384185791015625e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,20,30,5.960464477539063e-08,5.960464477539063e-08,0.0,2.384185791015625e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,21,31,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,22,32,0.0,0.0,0.0,1.1920928955078125e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,23,33,1.7881393432617188e-07,1.7881393432617188e-07,0.0,1.1920928955078125e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,24,34,0.0,0.0,1.1920928955078125e-07,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,25,35,5.960464477539063e-08,5.960464477539063e-08,0.0,1.1920928955078125e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,26,36,0.0,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,27,37,0.0,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,28,38,0.0,0.0,1.1920928955078125e-07,1.1920928955078125e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,29,39,0.0,0.0,1.1920928955078125e-07,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,30,40,0.0,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,31,41,0.0,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,32,42,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,33,43,2.384185791015625e-07,2.384185791015625e-07,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,34,44,0.0,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,35,45,1.1920928955078125e-07,1.1920928955078125e-07,0.0,1.1920928955078125e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,36,46,0.0,0.0,0.0,1.1920928955078125e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,37,47,0.0,0.0,0.0,1.1920928955078125e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,38,48,0.0,0.0,0.0,1.1920928955078125e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,39,49,1.1920928955078125e-07,1.1920928955078125e-07,0.0,1.1920928955078125e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,50,60,5.960464477539063e-08,0.0,0.0,5.960464477539063e-08
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,51,61,1.1920928955078125e-07,1.7881393432617188e-07,1.1920928955078125e-07,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,52,62,1.1920928955078125e-07,0.0,5.960464477539063e-08,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,53,63,0.0,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,54,64,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,55,65,0.0,0.0,5.960464477539063e-08,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,56,66,0.0,1.1920928955078125e-07,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,57,67,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,58,68,0.0,1.1920928955078125e-07,1.7881393432617188e-07,1.1920928955078125e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,59,69,5.960464477539063e-08,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,60,70,5.960464477539063e-08,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,61,71,0.0,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,62,72,5.960464477539063e-08,5.960464477539063e-08,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,63,73,0.0,5.960464477539063e-08,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,64,74,5.960464477539063e-08,0.0,1.1920928955078125e-07,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,65,75,0.0,0.0,1.1920928955078125e-07,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,66,76,5.960464477539063e-08,0.0,0.0,1.1920928955078125e-07
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,67,77,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,68,78,1.1920928955078125e-07,0.0,0.0,5.960464477539063e-08
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,69,79,0.0,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,70,80,0.0,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,71,81,0.0,0.0,0.0,5.960464477539063e-08
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,72,82,0.0,2.9802322387695312e-08,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,73,83,0.0,5.960464477539063e-08,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,74,84,0.0,5.960464477539063e-08,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,75,85,0.0,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,76,86,0.0,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,77,87,0.0,0.0,0.0,0.0
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,78,88,0.0,5.960464477539063e-08,0.0,5.960464477539063e-08
task04-init07-motion_attenuation_0p5,motion_attenuation_0p5,79,89,0.0,5.960464477539063e-08,0.0,0.0
task04-init07-action_delay_3,action_delay_3,10,20,0.0,0.0,2.384185791015625e-07,0.0
task04-init07-action_delay_3,action_delay_3,11,21,0.0,0.0,0.0,2.384185791015625e-07
task04-init07-action_delay_3,action_delay_3,12,22,0.0,0.0,0.0,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,13,23,5.960464477539063e-08,5.960464477539063e-08,0.0,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,14,24,0.0,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,15,25,0.0,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,16,26,0.0,0.0,0.0,3.5762786865234375e-07
task04-init07-action_delay_3,action_delay_3,17,27,0.0,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,18,28,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,0.0
task04-init07-action_delay_3,action_delay_3,19,29,0.0,0.0,0.0,2.384185791015625e-07
task04-init07-action_delay_3,action_delay_3,20,30,5.960464477539063e-08,5.960464477539063e-08,0.0,2.384185791015625e-07
task04-init07-action_delay_3,action_delay_3,21,31,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0
task04-init07-action_delay_3,action_delay_3,22,32,0.0,0.0,0.0,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,23,33,1.7881393432617188e-07,1.7881393432617188e-07,0.0,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,24,34,0.0,0.0,1.1920928955078125e-07,0.0
task04-init07-action_delay_3,action_delay_3,25,35,5.960464477539063e-08,5.960464477539063e-08,0.0,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,26,36,0.0,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,27,37,0.0,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,28,38,0.0,0.0,1.1920928955078125e-07,1.1920928955078125e-07
task04-init07-action_delay_3,action_delay_3,29,39,0.0,0.0,1.1920928955078125e-07,0.0
task04-init07-action_delay_3,action_delay_3,30,40,0.0,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,31,41,0.0,0.0,0.0,0.0
task04-init07-action_delay_3,action_delay_3,32,42,1.1920928955078125e-07,1.1920928955078125e-07,0.0,0.0
