condition,task_id,init_state_index,intervention_start,intervention_active_at_available_step,start_index,target_index,available_after_step,horizon,commanded_h10_raw_mse,executed_h10_raw_mse,commanded_minus_executed,no_action_h10_raw_mse,persistence_h10_raw_mse,scoring_seconds
nominal,4,7,,False,0,10,9,10,0.6933325529098511,0.6933325529098511,0.0,0.7527728080749512,0.7394155263900757,0.0139419450006244
nominal,4,7,,False,1,11,10,10,0.7458705902099609,0.7458705902099609,0.0,0.8219107389450073,0.8246045112609863,0.013828661998559255
nominal,4,7,,False,2,12,11,10,0.7720990180969238,0.7720990180969238,0.0,0.8548905849456787,0.9063962697982788,0.012767713000357617
nominal,4,7,,False,3,13,12,10,0.8282186985015869,0.8282186985015869,0.0,0.9323176145553589,0.9232343435287476,0.013218513000538223
nominal,4,7,,False,4,14,13,10,0.8447644114494324,0.8447644114494324,0.0,0.9379137754440308,1.0008342266082764,0.013212374000431737
nominal,4,7,,False,5,15,14,10,0.8689526319503784,0.8689526319503784,0.0,0.9913244247436523,1.1592410802841187,0.013466697000694694
nominal,4,7,,False,6,16,15,10,0.8785181045532227,0.8785181045532227,0.0,1.0567747354507446,1.3515799045562744,0.013178490999052883
nominal,4,7,,False,7,17,16,10,0.922856330871582,0.922856330871582,0.0,1.1540884971618652,1.4665355682373047,0.014411332000236143
nominal,4,7,,False,8,18,17,10,0.8157304525375366,0.8157304525375366,0.0,0.9452861547470093,1.404231071472168,0.012898150000182795
nominal,4,7,,False,9,19,18,10,0.8210806846618652,0.8210806846618652,0.0,0.9637012481689453,1.3735265731811523,0.014010191000124905
nominal,4,7,,False,10,20,19,10,0.8788260221481323,0.8788260221481323,0.0,0.8797587752342224,1.4670518636703491,0.013885504000427318
nominal,4,7,,False,11,21,20,10,0.8648443222045898,0.8648443222045898,0.0,0.8463169932365417,1.4645957946777344,0.014092866998907994
nominal,4,7,,False,12,22,21,10,0.7702217102050781,0.7702217102050781,0.0,0.7433774471282959,1.3448141813278198,0.015333883000494097
nominal,4,7,,False,13,23,22,10,0.7775365114212036,0.7775365114212036,0.0,0.785348117351532,1.316190481185913,0.014924820001397165
nominal,4,7,,False,14,24,23,10,0.8939541578292847,0.8939541578292847,0.0,0.8705265522003174,1.3496812582015991,0.01435702799972205
nominal,4,7,,False,15,25,24,10,0.8446383476257324,0.8446383476257324,0.0,0.8564013242721558,1.3779305219650269,0.013317834000190487
nominal,4,7,,False,16,26,25,10,0.8097233176231384,0.8097233176231384,0.0,0.8129385709762573,1.360227346420288,0.014897228000336327
nominal,4,7,,False,17,27,26,10,0.8451875448226929,0.8451875448226929,0.0,0.8345608115196228,1.4365694522857666,0.013829347999489983
nominal,4,7,,False,18,28,27,10,0.8418046832084656,0.8418046832084656,0.0,0.8558617830276489,1.4413204193115234,0.024467609999192064
nominal,4,7,,False,19,29,28,10,0.8641988635063171,0.8641988635063171,0.0,0.8836288452148438,1.484378695487976,0.013895039999624714
nominal,4,7,,False,20,30,29,10,0.8824774622917175,0.8824774622917175,0.0,0.8998183608055115,1.389057993888855,0.027521635000084643
nominal,4,7,,False,21,31,30,10,0.9486119151115417,0.9486119151115417,0.0,0.9939799308776855,1.4627513885498047,0.03261469700009911
