pair_id,condition,benchmark_task_id,init_state_index,period,start_index,target_index,no_action_residual_raw,latent_persistence_motion_raw,eef_path_length_raw,pixel_endpoint_mae_raw,no_action_residual_anomaly,latent_persistence_motion_anomaly,eef_path_length_anomaly,pixel_endpoint_mae_anomaly
task04-init06,nominal,4,6,pre,10,20,1.08389413356781,1.4029438495635986,0.12253803014755249,25.94945526123047,1.5173904686672783,0.5645237396401538,1.1941137743418444,0.6395114392400642
task04-init06,nominal,4,6,pre,11,21,1.0224394798278809,1.5311779975891113,0.12337576597929001,25.795658111572266,1.0110124174660307,1.2335783086264567,1.2268309662063495,0.6668680179086224
task04-init06,nominal,4,6,pre,12,22,0.8155010938644409,1.4467966556549072,0.12368544936180115,25.767763137817383,0.6941319487581549,0.793323327971517,1.2389254359174653,0.6718298201635975
task04-init06,nominal,4,6,pre,13,23,0.788719892501831,1.3459374904632568,0.12372555583715439,26.0953311920166,0.9148054328561585,0.26709621659247534,1.2404917664949928,0.6135638427776537
task04-init06,nominal,4,6,pre,14,24,0.8020071983337402,1.3005774021148682,0.12359995394945145,26.29338836669922,0.8053198264226545,0.030432466519648607,1.235586471886789,0.578334537864535
task04-init06,nominal,4,6,pre,15,25,0.8485541343688965,1.290708065032959,0.1230202168226242,26.61809730529785,0.4217793567518103,0.021060253393018997,1.2129452404976002,0.5205771240054432
task04-init06,nominal,4,6,pre,16,26,0.8784502744674683,1.3289942741394043,0.12185198068618774,27.254701614379883,0.17543919794756196,0.17869592330599815,1.167320588464314,0.40734150227351057
task04-init06,nominal,4,6,pre,17,27,0.8677050471305847,1.331939697265625,0.12028636783361435,28.14266586303711,0.2639784207311111,0.19406350542463796,1.1061766643982511,0.24939537728196115
task04-init06,nominal,4,6,pre,18,28,0.9663265943527222,1.4802279472351074,0.11831944435834885,29.026294708251953,0.548649815694053,0.9677492412188696,1.0293598323074118,0.09222040965968066
task04-init06,nominal,4,6,pre,19,29,1.010388970375061,1.426285743713379,0.11605401337146759,29.397357940673828,0.9117178462440572,0.6863087802878141,0.9408849963918197,0.02621775270980859
task04-init06,nominal,4,6,pre,20,30,0.9385828971862793,1.4509220123291016,0.11344386637210846,29.625761032104492,0.3200454960974571,0.8148471480620807,0.8389475156999927,0.014409314519662533
task04-init06,nominal,4,6,pre,21,31,0.9224855303764343,1.443580985069275,0.1101841852068901,30.684091567993164,0.1874053665291291,0.7765457446928092,0.7116429286700119,0.2026592439020928
task04-init06,nominal,4,6,pre,22,32,1.0045076608657837,1.4841784238815308,0.1059974730014801,31.522871017456055,0.8632566497914245,0.9883606344449343,0.5481337873434865,0.35185665130396404
task04-init06,nominal,4,6,pre,23,33,1.1121076345443726,1.4616197347640991,0.10119787603616714,31.622652053833008,1.7498659082415746,0.870661922699632,0.36068885680881985,0.3696051451957089
task04-init06,nominal,4,6,pre,24,34,0.998450517654419,1.4345204830169678,0.09620483964681625,30.846303939819336,0.8133466073689598,0.7292730767744339,0.16568928373572667,0.23151267532613476
task04-init06,nominal,4,6,pre,25,35,1.0058945417404175,1.397358775138855,0.09121635556221008,29.29680633544922,0.8746843609866963,0.5353839229880414,0.029132502232988036,0.04410331108777633
task04-init06,nominal,4,6,pre,26,36,0.9712544679641724,1.2205531597137451,0.08620142936706543,26.823482513427734,0.5892548290506067,0.3870895885064954,0.22498696648883734,0.4840443493990859
task04-init06,nominal,4,6,pre,27,37,0.8488532304763794,1.2183583974838257,0.08122535794973373,23.507957458496094,0.4193148452004147,0.39854063895113995,0.41932398434643164,1.0737914428555437
task04-init06,nominal,4,6,pre,28,38,0.838467001914978,1.1627264022827148,0.0766560435295105,19.965139389038086,0.5048959665343711,0.6887974944318037,0.597775389803962,1.7039681492568644
task04-init06,nominal,4,6,pre,29,39,0.6967679262161255,0.8930343389511108,0.07262685149908066,18.85732078552246,1.672477222675799,2.0959009061958374,0.7551326899508313,1.9010207399252832
task04-init06,nominal,4,6,pre,30,40,0.7548542022705078,0.8261690139770508,0.06896279007196426,20.810096740722656,1.1938541489142622,2.4447670379515403,0.8982300676357096,1.553671851085498
task04-init06,nominal,4,6,pre,31,41,0.7285451889038086,0.8327158689498901,0.06597235053777695,24.551776885986328,1.410636867665483,2.4106091845286173,1.015019609508693,0.8881226684512912
task04-init06,nominal,4,6,pre,32,42,0.7374939918518066,0.987106204032898,0.06414949148893356,29.242231369018555,1.3368999393513468,1.6050861574324213,1.086210105347057,0.05381080154395431
task04-init06,nominal,4,6,pre,33,43,0.7384750247001648,1.1316014528274536,0.06310465186834335,33.66480255126953,1.328816361108138,0.8511901953086964,1.1270155920403817,0.7328514788261693
task04-init06,nominal,4,6,pre,34,44,0.7465621829032898,1.1852277517318726,0.06240803375840187,36.76649475097656,1.2621792691804057,0.5713979492317123,1.1542215291577824,1.2845631773557715
task04-init06,nominal,4,6,pre,35,45,0.7596544623374939,1.2090954780578613,0.06226860359311104,38.188358306884766,1.1543006539378478,0.44686940831185995,1.159666877556046,1.5374763315306283
task04-init06,nominal,4,6,pre,36,46,0.9418089389801025,1.3522413969039917,0.06295663118362427,39.05787658691406,0.34662764500294485,0.299986499497437,1.1327964372166295,1.6921413905660845
task04-init06,nominal,4,6,pre,37,47,0.934461772441864,1.3757290840148926,0.06437354534864426,39.217247009277344,0.28608798450418366,0.4225322068494479,1.0774598372572537,1.720489311880047
task04-init06,nominal,4,6,pre,38,48,1.0554462671279907,1.3520044088363647,0.06602434813976288,38.96582794189453,1.2829838893121752,0.29875002737294876,1.0129888792280752,1.6757682912959924
task04-init06,nominal,4,6,pre,39,49,1.0582606792449951,1.4778766632080078,0.061726488173007965,37.074928283691406,1.306174265245575,0.9554815469616229,1.1808388192831085,1.3394256128462
task04-init06,nominal,4,6,pre,40,50,1.0150744915008545,1.3548725843429565,0.05747343599796295,35.25459289550781,0.9503259078333779,0.3137145743121779,1.346938822111084,1.015634512941711
task04-init06,nominal,4,6,fault_influenced,41,51,1.0753082036972046,1.3786680698394775,0.053087037056684494,33.33760452270508,1.4466435655274936,0.43786620270313686,1.518246590406513,0.6746513195350949
task04-init06,nominal,4,6,fault_influenced,42,52,1.0147559642791748,1.3274242877960205,0.048447150737047195,31.004531860351562,0.9477012865239601,0.17050460646519813,1.6994541324477963,0.2596573747904746
task04-init06,nominal,4,6,fault_influenced,43,53,1.0521540641784668,1.2224605083465576,0.043128080666065216,27.916860580444336,1.255856581414649,0.37713810259512104,1.9071867248237542,0.28956036077322533
task04-init06,nominal,4,6,fault_influenced,44,54,0.9572319388389587,1.0149811506271362,0.03854484483599663,23.406278610229492,0.47371108192629674,1.459650166580641,2.086181821287064,1.091877508934892
task04-init06,nominal,4,6,fault_influenced,45,55,0.98042893409729,0.9035534858703613,0.033329010009765625,19.269079208374023,0.6648511915483987,2.0410178394267384,2.289882632782059,1.8277794496138968
task04-init06,nominal,4,6,fault_influenced,46,56,0.8790467977523804,0.6401228308677673,0.027660910040140152,16.50625991821289,0.1705239266031284,3.415452699831273,2.511246345766388,2.3192143261787357
task04-init06,nominal,4,6,fault_influenced,47,57,0.8243822455406189,0.6388022303581238,0.021710623055696487,14.955216407775879,0.6209524577917336,3.4223428598891608,2.7436306768927508,2.595105289736418
