pair_id,benchmark_task_id,init_state_index,no_action_residual_nominal_influenced_anomaly_mean,no_action_residual_fault_influenced_anomaly_mean,no_action_residual_paired_effect,latent_persistence_motion_nominal_influenced_anomaly_mean,latent_persistence_motion_fault_influenced_anomaly_mean,latent_persistence_motion_paired_effect,eef_path_length_nominal_influenced_anomaly_mean,eef_path_length_fault_influenced_anomaly_mean,eef_path_length_paired_effect,pixel_endpoint_mae_nominal_influenced_anomaly_mean,pixel_endpoint_mae_fault_influenced_anomaly_mean,pixel_endpoint_mae_paired_effect
task04-init06,4,6,0.9441008765636083,0.6187545259772673,-0.325346350586341,1.7624435799872575,2.080718190985133,0.3182746109978756,2.372215469823732,2.3625810600623547,-0.009634409761377416,1.5896065746180756,1.5859936531491137,-0.0036129214689619715
task04-init09,4,9,1.538610875158769,0.9795144858160688,-0.5590963893427002,0.670587443539354,0.8604063348542056,0.18981889131485163,1.4965562663851366,1.4596313351738512,-0.03692493121128537,0.7686915729137989,0.8650128222105039,0.09632124929670505
task07-init08,7,8,1.1144161673789506,1.2574763652096324,0.1430601978306818,1.1207449312565965,1.5113516881323124,0.3906067568757159,1.2433893639795088,1.5769883335851713,0.3335989696056625,1.1151056606157719,2.633684872349865,1.518579211734093
task07-init11,7,11,1.0554164628958325,1.107151641611625,0.051735178715792474,0.6238718570551216,0.7686102152130452,0.14473835815792357,0.6555230649228294,0.9246334151831835,0.2691103502603541,0.6560439649262421,0.4661467053652325,-0.18989725956100956
task08-init10,8,10,0.6883261320650867,0.8539056197630879,0.16557948769800113,1.1215150324360377,1.1505832852062008,0.029068252770163117,7.02071908472152,7.548946608785255,0.5282275240637349,1.6296712150456805,1.746345225132973,0.1166740100872925
task08-init23,8,23,1.9682946272745099,2.1798815975744503,0.21158697029994045,1.9943686244363694,2.120103679692985,0.12573505525661544,6.396276638016587,6.293676931161281,-0.1025997068553064,3.5117126452557748,3.5536469671419497,0.04193432188617496
