pair_id,condition,benchmark_task_id,init_state_index,metric,pre_mean,pre_sample_std,scale_floor,denominator
task04-init06,nominal,4,6,no_action_residual,0.8997417880642798,0.12136121143905097,8.997417880642799e-07,0.12136121143905097
task04-init06,nominal,4,6,latent_persistence_motion,1.2947445723318285,0.19166470714011064,1.2947445723318285e-06,0.19166470714011064
task04-init06,nominal,4,6,eef_path_length,0.09196230408645445,0.02560537087678296,9.196230408645445e-08,0.02560537087678296
task04-init06,nominal,4,6,pixel_endpoint_mae,29.544752674718058,5.621943866649056,2.9544752674718057e-05,5.621943866649056
task04-init06,arm_actuator_gain_0p5,4,6,no_action_residual,0.8997417880642798,0.12136121143905097,8.997417880642799e-07,0.12136121143905097
task04-init06,arm_actuator_gain_0p5,4,6,latent_persistence_motion,1.2947445723318285,0.19166470714011064,1.2947445723318285e-06,0.19166470714011064
task04-init06,arm_actuator_gain_0p5,4,6,eef_path_length,0.09196230408645445,0.02560537087678296,9.196230408645445e-08,0.02560537087678296
task04-init06,arm_actuator_gain_0p5,4,6,pixel_endpoint_mae,29.544752674718058,5.621943866649056,2.9544752674718057e-05,5.621943866649056
task04-init09,nominal,4,9,no_action_residual,0.7805113234827595,0.15123683941651422,7.805113234827595e-07,0.15123683941651422
task04-init09,nominal,4,9,latent_persistence_motion,1.1610189118692953,0.2614891951952344,1.1610189118692952e-06,0.2614891951952344
task04-init09,nominal,4,9,eef_path_length,0.08672270719562808,0.020689922531457315,8.672270719562808e-08,0.020689922531457315
task04-init09,nominal,4,9,pixel_endpoint_mae,25.245106235627205,5.796727049138577,2.5245106235627205e-05,5.796727049138577
task04-init09,arm_actuator_gain_0p5,4,9,no_action_residual,0.7805113234827595,0.15123683941651422,7.805113234827595e-07,0.15123683941651422
task04-init09,arm_actuator_gain_0p5,4,9,latent_persistence_motion,1.1610189118692953,0.2614891951952344,1.1610189118692952e-06,0.2614891951952344
task04-init09,arm_actuator_gain_0p5,4,9,eef_path_length,0.08672270719562808,0.020689922531457315,8.672270719562808e-08,0.020689922531457315
task04-init09,arm_actuator_gain_0p5,4,9,pixel_endpoint_mae,25.245106235627205,5.796727049138577,2.5245106235627205e-05,5.796727049138577
task07-init08,nominal,7,8,no_action_residual,0.8591530015391688,0.12155614288095108,8.591530015391688e-07,0.12155614288095108
task07-init08,nominal,7,8,latent_persistence_motion,0.6301283845978398,0.170653042843367,6.301283845978398e-07,0.170653042843367
task07-init08,nominal,7,8,eef_path_length,0.07421490718280116,0.03149015036112782,7.421490718280116e-08,0.03149015036112782
task07-init08,nominal,7,8,pixel_endpoint_mae,12.918791986280873,1.8295816459705747,1.2918791986280872e-05,1.8295816459705747
task07-init08,arm_actuator_gain_0p5,7,8,no_action_residual,0.8591530015391688,0.12155614288095108,8.591530015391688e-07,0.12155614288095108
task07-init08,arm_actuator_gain_0p5,7,8,latent_persistence_motion,0.6301283845978398,0.170653042843367,6.301283845978398e-07,0.170653042843367
task07-init08,arm_actuator_gain_0p5,7,8,eef_path_length,0.07421490718280116,0.03149015036112782,7.421490718280116e-08,0.03149015036112782
task07-init08,arm_actuator_gain_0p5,7,8,pixel_endpoint_mae,12.918791986280873,1.8295816459705747,1.2918791986280872e-05,1.8295816459705747
task07-init11,nominal,7,11,no_action_residual,0.7079902175934084,0.16503294845120609,7.079902175934083e-07,0.16503294845120609
task07-init11,nominal,7,11,latent_persistence_motion,0.9149335324764252,0.4466877271964825,9.149335324764251e-07,0.4466877271964825
task07-init11,nominal,7,11,eef_path_length,0.07629080137778674,0.03759141836621506,7.629080137778674e-08,0.03759141836621506
task07-init11,nominal,7,11,pixel_endpoint_mae,17.446327917037472,5.721422146622243,1.7446327917037472e-05,5.721422146622243
task07-init11,arm_actuator_gain_0p5,7,11,no_action_residual,0.7079902175934084,0.16503294845120609,7.079902175934083e-07,0.16503294845120609
task07-init11,arm_actuator_gain_0p5,7,11,latent_persistence_motion,0.9149335324764252,0.4466877271964825,9.149335324764251e-07,0.4466877271964825
task07-init11,arm_actuator_gain_0p5,7,11,eef_path_length,0.07629080137778674,0.03759141836621506,7.629080137778674e-08,0.03759141836621506
task07-init11,arm_actuator_gain_0p5,7,11,pixel_endpoint_mae,17.446327917037472,5.721422146622243,1.7446327917037472e-05,5.721422146622243
task08-init10,nominal,8,10,no_action_residual,0.8767860243397374,0.1160818255951398,8.767860243397373e-07,0.1160818255951398
task08-init10,nominal,8,10,latent_persistence_motion,1.142315472325971,0.23704146920642102,1.142315472325971e-06,0.23704146920642102
task08-init10,nominal,8,10,eef_path_length,0.11856557549007478,0.008832259830982245,1.1856557549007477e-07,0.008832259830982245
task08-init10,nominal,8,10,pixel_endpoint_mae,13.53970330761325,1.3633311927781024,1.3539703307613249e-05,1.3633311927781024
task08-init10,arm_actuator_gain_0p5,8,10,no_action_residual,0.8767860243397374,0.1160818255951398,8.767860243397373e-07,0.1160818255951398
task08-init10,arm_actuator_gain_0p5,8,10,latent_persistence_motion,1.142315472325971,0.23704146920642102,1.142315472325971e-06,0.23704146920642102
task08-init10,arm_actuator_gain_0p5,8,10,eef_path_length,0.11856557549007478,0.008832259830982245,1.1856557549007477e-07,0.008832259830982245
task08-init10,arm_actuator_gain_0p5,8,10,pixel_endpoint_mae,13.53970330761325,1.3633311927781024,1.3539703307613249e-05,1.3633311927781024
task08-init23,nominal,8,23,no_action_residual,0.838410073711026,0.1732915419863105,8.38410073711026e-07,0.1732915419863105
task08-init23,nominal,8,23,latent_persistence_motion,1.1796824201460807,0.26974487657969637,1.1796824201460807e-06,0.26974487657969637
task08-init23,nominal,8,23,eef_path_length,0.11801101123133013,0.008370235629766003,1.1801101123133013e-07,0.008370235629766003
task08-init23,nominal,8,23,pixel_endpoint_mae,14.749881590566327,2.8362530407493987,1.4749881590566327e-05,2.8362530407493987
task08-init23,arm_actuator_gain_0p5,8,23,no_action_residual,0.838410073711026,0.1732915419863105,8.38410073711026e-07,0.1732915419863105
