start_begin,start_end_exclusive,label,episodes,windows,h10_raw_mse_mean,h10_raw_mse_median
0,20,success,7,140,0.7163905501365662,0.7155584096908569
0,20,failure,5,100,0.7912276387214661,0.7672446966171265
20,40,success,7,140,0.7933896780014038,0.7909351587295532
20,40,failure,5,100,0.8561551570892334,0.8170177340507507
40,60,success,7,140,0.7463759779930115,0.7185667753219604
40,60,failure,5,100,0.7711806297302246,0.7563343048095703
60,80,success,7,140,0.7521186470985413,0.7577553987503052
60,80,failure,5,100,0.7923517823219299,0.7573055624961853
