rollout_id,benchmark_task_id,episode_index,success,failure,start_index,h1_raw_mse,h10_raw_mse,h10_correct_zero_disagreement,h10_correct_no_action_disagreement,h10_action_advantage_vs_zero,h10_persistence_raw_mse
pretrained-h10-task04-init00,4,0,True,False,0,0.06837837398052216,0.7185081243515015,0.09423187375068665,0.08909456431865692,0.000973820686340332,0.676416277885437
pretrained-h10-task04-init00,4,0,True,False,1,0.09385733306407928,0.782314658164978,0.09766396135091782,0.11140546202659607,0.08667021989822388,0.8857129812240601
pretrained-h10-task04-init00,4,0,True,False,2,0.09970741719007492,0.7692817449569702,0.09434036910533905,0.10777747631072998,0.09994661808013916,0.9135729074478149
pretrained-h10-task04-init00,4,0,True,False,3,0.11573772877454758,0.7692021131515503,0.13520817458629608,0.11837901175022125,0.15325963497161865,0.9194289445877075
pretrained-h10-task04-init00,4,0,True,False,4,0.13928821682929993,0.6982917189598083,0.16778504848480225,0.16151589155197144,0.17538076639175415,1.0853641033172607
pretrained-h10-task04-init00,4,0,True,False,5,0.131894052028656,0.8029695749282837,0.12689626216888428,0.15863348543643951,0.17045456171035767,1.2311604022979736
pretrained-h10-task04-init00,4,0,True,False,6,0.15975339710712433,0.7835856676101685,0.122881218791008,0.11703811585903168,0.17241394519805908,1.284708023071289
pretrained-h10-task04-init00,4,0,True,False,7,0.20162364840507507,0.6683911085128784,0.10887446254491806,0.14249855279922485,0.17655044794082642,1.3332090377807617
pretrained-h10-task04-init00,4,0,True,False,8,0.14030370116233826,0.7680856585502625,0.09024810791015625,0.16915586590766907,0.15059900283813477,1.4991902112960815
pretrained-h10-task04-init00,4,0,True,False,9,0.17878352105617523,0.7488824725151062,0.10355864465236664,0.19600951671600342,0.1526433825492859,1.481771469116211
pretrained-h10-task04-init00,4,0,True,False,10,0.269011914730072,0.7036346197128296,0.13198322057724,0.15385548770427704,0.14922243356704712,1.4717464447021484
pretrained-h10-task04-init00,4,0,True,False,11,0.1544640064239502,0.6753166913986206,0.10828837007284164,0.16514599323272705,0.11927777528762817,1.3090780973434448
pretrained-h10-task04-init00,4,0,True,False,12,0.14552706480026245,0.7412900924682617,0.09929054975509644,0.12966853380203247,0.16038942337036133,1.266322374343872
pretrained-h10-task04-init00,4,0,True,False,13,0.14083534479141235,0.764162540435791,0.08687939494848251,0.1411927044391632,0.15476715564727783,1.2222685813903809
pretrained-h10-task04-init00,4,0,True,False,14,0.157876119017601,0.8680251836776733,0.09530426561832428,0.17527508735656738,0.14818966388702393,1.3967851400375366
pretrained-h10-task04-init00,4,0,True,False,15,0.15418848395347595,0.8785901069641113,0.08600769937038422,0.18546444177627563,0.09878009557723999,1.3989871740341187
pretrained-h10-task04-init00,4,0,True,False,16,0.13785365223884583,0.8336483836174011,0.08507423102855682,0.158483624458313,0.11439472436904907,1.3156089782714844
pretrained-h10-task04-init00,4,0,True,False,17,0.1322968602180481,0.8283273577690125,0.0893288180232048,0.16535153985023499,0.13550454378128052,1.2900470495224
pretrained-h10-task04-init00,4,0,True,False,18,0.16231976449489594,0.8189859390258789,0.09434467554092407,0.15541672706604004,0.1276208758354187,1.331327199935913
pretrained-h10-task04-init00,4,0,True,False,19,0.17586982250213623,0.8102636337280273,0.10007601976394653,0.15294598042964935,0.12681472301483154,1.332139015197754
pretrained-h10-task04-init00,4,0,True,False,20,0.17368905246257782,0.8745850324630737,0.07933375239372253,0.14759737253189087,0.14782023429870605,1.4675099849700928
pretrained-h10-task04-init00,4,0,True,False,21,0.19659781455993652,0.8533040881156921,0.11601951718330383,0.1648837924003601,0.16687935590744019,1.422377347946167
pretrained-h10-task04-init00,4,0,True,False,22,0.16874653100967407,0.7917578220367432,0.16544219851493835,0.20917102694511414,0.16626161336898804,1.3901013135910034
pretrained-h10-task04-init00,4,0,True,False,23,0.16122747957706451,0.7729291915893555,0.08436765521764755,0.1686064898967743,0.16042226552963257,1.2746034860610962
pretrained-h10-task04-init00,4,0,True,False,24,0.14886975288391113,0.7208107709884644,0.039988450706005096,0.17693261802196503,0.04237544536590576,1.2332980632781982
pretrained-h10-task04-init00,4,0,True,False,25,0.1574130654335022,0.7357114553451538,0.047147832810878754,0.13955695927143097,-0.0030233263969421387,1.1184543371200562
pretrained-h10-task04-init00,4,0,True,False,26,0.13558417558670044,0.7204567790031433,0.015622023493051529,0.10267810523509979,0.03858691453933716,1.1579203605651855
pretrained-h10-task04-init00,4,0,True,False,27,0.13608881831169128,0.6860899329185486,0.014483826234936714,0.09393145889043808,0.023585081100463867,0.9951655268669128
pretrained-h10-task04-init00,4,0,True,False,28,0.1775401532649994,0.656471848487854,0.036780692636966705,0.1425679624080658,0.0010750889778137207,0.8126951456069946
pretrained-h10-task04-init00,4,0,True,False,29,0.19932684302330017,0.6773642301559448,0.04903745651245117,0.08026286959648132,0.03578054904937744,0.7745506167411804
pretrained-h10-task04-init00,4,0,True,False,30,0.172321617603302,0.7663959264755249,0.07284869253635406,0.07712799310684204,0.060852885246276855,0.892765998840332
pretrained-h10-task04-init00,4,0,True,False,31,0.12345924228429794,0.7199487686157227,0.10177399963140488,0.07763486355543137,0.06505697965621948,0.7781809568405151
pretrained-h10-task04-init00,4,0,True,False,32,0.10032621026039124,0.7213475108146667,0.1272464245557785,0.08322766423225403,0.16687148809432983,0.7980431318283081
pretrained-h10-task04-init00,4,0,True,False,33,0.14202100038528442,0.7101774215698242,0.13912615180015564,0.08666463196277618,0.17213129997253418,0.9068233370780945
pretrained-h10-task04-init00,4,0,True,False,34,0.13867123425006866,0.7407843470573425,0.19060620665550232,0.08339853584766388,0.20340663194656372,1.0383071899414062
pretrained-h10-task04-init00,4,0,True,False,35,0.170364111661911,0.7647814750671387,0.21779511868953705,0.0829029232263565,0.2733445167541504,1.064645767211914
pretrained-h10-task04-init00,4,0,True,False,36,0.14114657044410706,0.8507248163223267,0.22074219584465027,0.07013870775699615,0.3679889440536499,1.2032727003097534
pretrained-h10-task04-init00,4,0,True,False,37,0.13137303292751312,0.9099988341331482,0.2361854761838913,0.07155120372772217,0.41492611169815063,1.2758336067199707
pretrained-h10-task04-init00,4,0,True,False,38,0.13174520432949066,1.066832184791565,0.22292563319206238,0.06939387321472168,0.3872588872909546,1.3591420650482178
pretrained-h10-task04-init00,4,0,True,False,39,0.20476101338863373,1.0332880020141602,0.18104955554008484,0.07279230654239655,0.3425678014755249,1.3090133666992188
pretrained-h10-task04-init00,4,0,True,False,40,0.20223411917686462,1.0284302234649658,0.15122723579406738,0.07357743382453918,0.3020954132080078,1.356200098991394
pretrained-h10-task04-init00,4,0,True,False,41,0.21169845759868622,0.909420371055603,0.15128131210803986,0.0821167528629303,0.28880465030670166,1.154554009437561
pretrained-h10-task04-init00,4,0,True,False,42,0.20331698656082153,0.7917565703392029,0.08380534499883652,0.07006634771823883,0.19876664876937866,0.8473286628723145
pretrained-h10-task04-init00,4,0,True,False,43,0.22698593139648438,0.6466121077537537,0.058208487927913666,0.06170382350683212,0.11748260259628296,0.746340274810791
pretrained-h10-task04-init00,4,0,True,False,44,0.2530309557914734,0.6524802446365356,0.05788540095090866,0.08282621204853058,0.14303135871887207,0.6726372241973877
pretrained-h10-task04-init00,4,0,True,False,45,0.25377553701400757,0.5593306422233582,0.034204281866550446,0.06737588346004486,0.09585672616958618,0.49145302176475525
pretrained-h10-task04-init00,4,0,True,False,46,0.3040086627006531,0.5227503180503845,0.034951917827129364,0.06706080585718155,0.03404891490936279,0.3972179889678955
pretrained-h10-task04-init00,4,0,True,False,47,0.2495238482952118,0.6232868432998657,0.02089231088757515,0.05998418852686882,0.021834611892700195,0.5738176107406616
pretrained-h10-task04-init00,4,0,True,False,48,0.142484650015831,0.7255591154098511,0.009909683838486671,0.07255177199840546,0.019565701484680176,0.824029803276062
pretrained-h10-task04-init00,4,0,True,False,49,0.17692647874355316,0.7098926305770874,0.006722759455442429,0.06880097091197968,0.020508766174316406,0.7769907712936401
pretrained-h10-task04-init00,4,0,True,False,50,0.14622542262077332,0.7357796430587769,0.0050867400132119656,0.07037675380706787,0.022563278675079346,0.8520952463150024
pretrained-h10-task04-init00,4,0,True,False,51,0.16439101099967957,0.7341166734695435,0.00776958791539073,0.08756085485219955,0.005694925785064697,0.913733184337616
pretrained-h10-task04-init00,4,0,True,False,52,0.1777733564376831,0.7473994493484497,0.01524752750992775,0.08515997976064682,0.0009340047836303711,0.9235126376152039
pretrained-h10-task04-init00,4,0,True,False,53,0.12531331181526184,0.750137209892273,0.02371724508702755,0.09466811269521713,0.028810977935791016,0.9257997870445251
pretrained-h10-task04-init00,4,0,True,False,54,0.15065492689609528,0.7564747333526611,0.04067448899149895,0.10319322347640991,0.021990418434143066,0.9631382822990417
pretrained-h10-task04-init00,4,0,True,False,55,0.1434338539838791,0.7343845367431641,0.04893013834953308,0.10321339964866638,0.042122066020965576,1.1010314226150513
pretrained-h10-task04-init00,4,0,True,False,56,0.15040963888168335,0.7541400194168091,0.07310517132282257,0.12760667502880096,0.0023554563522338867,1.0381383895874023
pretrained-h10-task04-init00,4,0,True,False,57,0.21047735214233398,0.7266518473625183,0.09292592108249664,0.1327907294034958,-0.008268177509307861,1.0665239095687866
pretrained-h10-task04-init00,4,0,True,False,58,0.21929864585399628,0.749577522277832,0.09815921634435654,0.14269626140594482,-0.01207435131072998,1.1874041557312012
pretrained-h10-task04-init00,4,0,True,False,59,0.19157204031944275,0.6905557513237,0.11529447883367538,0.12672704458236694,-0.015223681926727295,1.1304398775100708
pretrained-h10-task04-init00,4,0,True,False,60,0.23330643773078918,0.6911872625350952,0.10833153128623962,0.13639649748802185,0.011450529098510742,1.1994504928588867
pretrained-h10-task04-init00,4,0,True,False,61,0.23414413630962372,0.6755601763725281,0.11352255195379257,0.1028469055891037,0.08945608139038086,1.1636853218078613
pretrained-h10-task04-init00,4,0,True,False,62,0.28597909212112427,0.6895667314529419,0.09199276566505432,0.09449024498462677,0.06143391132354736,1.1112182140350342
pretrained-h10-task04-init00,4,0,True,False,63,0.20187579095363617,0.6352448463439941,0.07630400359630585,0.09092259407043457,0.04569292068481445,0.9149744510650635
pretrained-h10-task04-init00,4,0,True,False,64,0.20735010504722595,0.7494572997093201,0.09262512624263763,0.10218086838722229,0.03647136688232422,0.9905168414115906
pretrained-h10-task04-init00,4,0,True,False,65,0.17135553061962128,0.8513943552970886,0.06797239184379578,0.08993270248174667,0.07643920183181763,1.030364751815796
pretrained-h10-task04-init00,4,0,True,False,66,0.13065539300441742,0.8551971316337585,0.06252402067184448,0.0835362896323204,0.09399491548538208,0.9515606760978699
pretrained-h10-task04-init00,4,0,True,False,67,0.16318005323410034,0.877248227596283,0.0666247308254242,0.07526396214962006,0.12055426836013794,0.97245192527771
pretrained-h10-task04-init00,4,0,True,False,68,0.12372170388698578,0.953376054763794,0.0624372661113739,0.08456851541996002,0.12093663215637207,0.9082530736923218
pretrained-h10-task04-init00,4,0,True,False,69,0.12919315695762634,0.866538405418396,0.0521288625895977,0.07623252272605896,0.1259857416152954,0.9104915857315063
