rollout_id,pair_id,condition,benchmark_task_id,init_state_index,period,start_index,target_index,commanded_h10_raw_mse,executed_h10_raw_mse,no_action_h10_raw_mse,persistence_h10_raw_mse
task04-init05-nominal,task04-init05,nominal,4,5,pre,10,20,0.806388258934021,0.806388258934021,0.9119674563407898,1.5719488859176636
task04-init05-nominal,task04-init05,nominal,4,5,pre,11,21,0.8146737813949585,0.8146737813949585,0.7802747488021851,1.415210485458374
task04-init05-nominal,task04-init05,nominal,4,5,pre,12,22,0.9442533254623413,0.9442533254623413,0.906826376914978,1.4038432836532593
task04-init05-nominal,task04-init05,nominal,4,5,pre,13,23,0.8367071151733398,0.8367071151733398,0.75559401512146,1.2565131187438965
task04-init05-nominal,task04-init05,nominal,4,5,pre,14,24,0.8189765810966492,0.8189765810966492,0.8409593105316162,1.2772234678268433
task04-init05-nominal,task04-init05,nominal,4,5,pre,15,25,0.8519009351730347,0.8519009351730347,0.8245782852172852,1.2271407842636108
task04-init05-nominal,task04-init05,nominal,4,5,pre,16,26,0.898452877998352,0.898452877998352,0.8737697601318359,1.3395202159881592
task04-init05-nominal,task04-init05,nominal,4,5,pre,17,27,0.8835317492485046,0.8835317492485046,0.8685626983642578,1.2703051567077637
task04-init05-nominal,task04-init05,nominal,4,5,pre,18,28,0.8178973197937012,0.8178973197937012,0.8389958143234253,1.3247344493865967
task04-init05-nominal,task04-init05,nominal,4,5,pre,19,29,0.7656142115592957,0.7656142115592957,0.8592724800109863,1.3373124599456787
task04-init05-nominal,task04-init05,nominal,4,5,pre,20,30,0.8295895457267761,0.8295895457267761,0.8754849433898926,1.3898935317993164
task04-init05-nominal,task04-init05,nominal,4,5,pre,21,31,0.8960420489311218,0.8960420489311218,0.8373885154724121,1.4618629217147827
task04-init05-nominal,task04-init05,nominal,4,5,pre,22,32,1.0138297080993652,1.0138297080993652,0.9918757677078247,1.6270711421966553
task04-init05-nominal,task04-init05,nominal,4,5,pre,23,33,1.0289125442504883,1.0289125442504883,0.9557398557662964,1.44418466091156
task04-init05-nominal,task04-init05,nominal,4,5,pre,24,34,0.9276609420776367,0.9276609420776367,0.9074767827987671,1.3327442407608032
task04-init05-nominal,task04-init05,nominal,4,5,pre,25,35,0.8759943842887878,0.8759943842887878,0.8470356464385986,1.2479873895645142
